ANIO;MES;CuerpoReceptor;Planta;Parametro;Tabla;Latitud;Longitud;Valor reportado;Umbral;diferencia_umbral;% diferencia_umbral
2020;6;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2022;5;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2018;8;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
2022;2;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2018;8;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2022;5;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2022;2;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
2020;7;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
2018;8;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2022;4;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2020;6;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Molibdeno;Tabla 4;-22.0981;-70.208398;0.009;0.1;-0.09100000000000001;-91.0
2017;7;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2020;7;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.009;0.1;-0.09100000000000001;-91.0
2018;7;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Molibdeno;Tabla 4;-32.7494;-71.4833;0.009;0.1;-0.09100000000000001;-91.0
