ANIO;MES;CuerpoReceptor;Planta;Parametro;Tabla;Latitud;Longitud;Valor reportado;Umbral;diferencia_umbral;% diferencia_umbral
2018;2;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2018;6;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2018;6;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2018;1;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2018;9;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2018;1;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2018;7;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2018;7;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2018;7;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2018;8;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2018;8;BAHÍA CORONEL;CENTRAL TERMOELECTRICA BOCAMINA U1;Mercurio;Tabla 4;-37.022789;-73.16584;0.001;0.005;-0.004;-80.0
2018;8;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2018;8;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2018;9;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2018;9;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2018;3;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2019;5;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;6;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;6;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;12;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;6;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;5;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2019;12;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2019;12;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2017;5;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;12;RIO MAPOCHO;RENCA NUEVA RENCA;Mercurio;Tabla 1;-33.4167;-70.6874;0.0002;0.001;-0.0008;-80.0
2017;4;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2020;1;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2017;4;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2020;1;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;3;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2020;1;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2017;2;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2020;2;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2020;2;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;2;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2020;2;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2020;2;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2017;1;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2020;3;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2017;1;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2020;3;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;12;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;11;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2019;9;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;9;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;8;BAHÍA CORONEL;CENTRAL TERMOELECTRICA BOCAMINA U1;Mercurio;Tabla 4;-37.022789;-73.16584;0.001;0.005;-0.004;-80.0
2019;6;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2019;6;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2019;7;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;7;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;7;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2019;8;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;8;BAHÍA CORONEL;CENTRAL TERMOELECTRICA BOCAMINA U1;Mercurio;Tabla 4;-37.022789;-73.16584;0.001;0.005;-0.004;-80.0
2019;8;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;8;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2017;7;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2018;4;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2017;1;BAHÍA CORONEL;CENTRAL TERMOELECTRICA BOCAMINA U1;Mercurio;Tabla 4;-37.022789;-73.16584;0.001;0.005;-0.004;-80.0
2017;7;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2019;9;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2019;10;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;10;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;6;PENINSULA GUACOLDA;GUACOLDA;Mercurio;Tabla 4;-28.472116;-71.247379;0.001;0.005;-0.004;-80.0
2019;10;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0002;0.001;-0.0008;-80.0
2019;11;BAHÍA ALGODONALES;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Mercurio;Tabla 4;-22.0981;-70.208398;0.001;0.005;-0.004;-80.0
2019;11;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Mercurio;Tabla 4;-32.7494;-71.4833;0.001;0.005;-0.004;-80.0
2017;6;ESTERO LAJARILLA;CENTRAL COLMITO;Mercurio;Tabla 1;-32.930525;-71.473568;0.0001;0.001;-0.0009;-90.0
2022;5;BAHÍA CORONEL;CENTRAL TERMOELECTRICA BOCAMINA U1;Mercurio;Tabla 4;-37.022789;-73.16584;0.0005;0.005;-0.0045000000000000005;-90.0
2022;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Mercurio;Tabla 4;-23.087606;-70.408082;0.0005;0.005;-0.0045000000000000005;-90.0
2017;11;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2017;12;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2020;3;RIO ACONCAGUA;CENTRAL SAN ISIDRO I;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2019;3;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2019;12;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2019;8;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;9;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2019;9;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2019;10;RIO ACONCAGUA;CENTRAL SAN ISIDRO I;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2019;11;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;6;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Mercurio;Tabla 4;-23.087606;-70.408082;0.0005;0.005;-0.0045000000000000005;-90.0
2019;2;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2020;5;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;5;RIO ACONCAGUA;CENTRAL SAN ISIDRO I;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;1;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;4;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;2;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2020;3;RIO ACONCAGUA;SAN ISIDRO 2;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2019;4;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2019;9;RIO ACONCAGUA;CENTRAL SAN ISIDRO I;Mercurio;Tabla 2;-32.936543;-71.3162416219711;0.001;0.01;-0.009000000000000001;-90.0
2018;11;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2018;5;RIO ACONCAGUA;COMPLEJO TERMOELÉCTRICO NEHUENCO;Mercurio;Tabla 1;-32.9366955;-71.3254887;0.0001;0.001;-0.0009;-90.0
2018;5;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2019;1;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
2019;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Mercurio;Tabla 4;-23.087606;-70.408082;0.0005;0.005;-0.0045000000000000005;-90.0
2018;12;RIO ACONCAGUA;LOS VIENTOS;Mercurio;Tabla 1;-32.843902;-71.013235;0.0001;0.001;-0.0009;-90.0
